Id,Label,rank_class,translations,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,Location,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,pageranks,eigencentrality,modularity_class,chin_rc,engl_rc
200,布政司照磨,85,Record Keeper for Provincial Administration Commissioner,0,0,0,10,"0,21372","0,295792",,"18,332922",8,8,16,"0,004124","0,201796",5,從八品,8b
224,道庫大使,95,Storehouse Commissioner-in-chief for Circuit Intendant,0,0,0,11,"0,184322","0,240545",,"18,18653",9,4,13,"0,001154","0,02515",5,從九品,9b
237,禮部鑄印局大使,100,Commissioner-in-chief of the Seals Service of the Ministry of Rites,0,0,0,11,"0,187243","0,254514",,"17,395069",1,9,10,"0,000967","0,001523",5,未入流,nc
209,按察司照磨,90,Record Keeper Provincial Surveillance Commissioner,0,0,0,10,"0,213368","0,290672",,"10,660714",10,8,18,"0,005181","0,280904",5,正九品,9a
15,吏員,0,Clerk,0,0,0,10,"0,261641","0,454251",,0,0,30,30,"0,000753",0,5,unranked,unranked
16,貢監,0,Tribute Student and Directorate Student by Purchase,0,0,0,11,"0,189583","0,25195",,0,0,2,2,"0,000753",0,5,unranked,unranked
25,儒士,0,Scholar,0,0,0,12,"0,168696","0,232611",,0,0,3,3,"0,000753",0,5,unranked,unranked
202,鹽運司知事,85,Administrative Clerk for the Provincial Salt Controller,0,0,0,10,"0,21134","0,282022",,0,2,6,8,"0,001789","0,062824",5,從八品,8b
234,候補候選對品人員,95,Expectants and Candidate of Commensurate Rank-class,0,0,0,11,"0,180698","0,222471",,0,0,1,1,"0,000753",0,5,從九品,9b
239,崇文門副使,100,Deputy Commissioner of the Chongwen Gate Tax Office,0,0,0,12,"0,17103","0,255748",,0,7,13,20,"0,000916","0,008548",5,未入流,nc
240,關大使,100,Commissioner-in-chief of Customs,0,0,0,12,"0,17103","0,255748",,0,7,13,20,"0,000916","0,008548",5,未入流,nc
242,長官司吏目,100,Secretary at the Chiers Office,0,0,0,12,"0,171329","0,26085",,0,1,15,16,"0,000774","0,001523",5,未入流,nc
243,茶引批驗所大使,100,Commissioner-in-chief at Tea Control Station,0,0,0,12,"0,176471","0,280032",,0,1,19,20,"0,000774","0,001523",5,未入流,nc
244,鹽茶大使,100,Storehouse Commissioner-in-chief for Salt and Tea,0,0,0,12,"0,176471","0,280032",,0,1,19,20,"0,000774","0,001523",5,未入流,nc
245,同知庫大使,100,Storehouse Commissioner-in-chief for Vice Prefect,0,0,0,12,"0,176471","0,280032",,0,1,19,20,"0,000774","0,001523",5,未入流,nc
246,州庫大使,100,Storehouse Commissioner-in-chief for Department,0,0,0,12,"0,176471","0,280032",,0,1,19,20,"0,000774","0,001523",5,未入流,nc
247,稅課司分司大使,100,Commissioner-in-chief for Commercial Tax Office,0,0,0,12,"0,176471","0,280032",,0,1,19,20,"0,000774","0,001523",5,未入流,nc
248,州稅課司大使,100,Commissioner-in-chief for Commercial Tax Office for Department,0,0,0,12,"0,176471","0,280032",,0,1,19,20,"0,000774","0,001523",5,未入流,nc
249,縣稅課司大使,100,Commissioner-in-chief for Commercial Tax Office for County,0,0,0,12,"0,176471","0,280032",,0,1,19,20,"0,000774","0,001523",5,未入流,nc
250,驛丞,100,Deputy at Postal Relay Station,0,0,0,12,"0,179931","0,303493",,0,1,27,28,"0,000774","0,001523",5,未入流,nc
251,河泊所所官,100,Commissioners-in-chief of the Fishing Tax Office,0,0,0,12,"0,179931","0,303493",,0,1,27,28,"0,000774","0,001523",5,未入流,nc
252,各閘閘官,100,Officer of the Grand Canal Locks,0,0,0,12,"0,179931","0,303493",,0,1,27,28,"0,000774","0,001523",5,未入流,nc
253,道倉大使,100,Granary Commissioner for Circuit Intendant,0,0,0,12,"0,167539","0,229826",,0,1,6,7,"0,000774","0,001523",5,未入流,nc
254,州倉大使,100,Granary Commissioner for Department,0,0,0,12,"0,167539","0,229826",,0,1,6,7,"0,000774","0,001523",5,未入流,nc
255,縣倉大使,100,Granary Commissioner for County,0,0,0,12,"0,167539","0,229826",,0,1,6,7,"0,000774","0,001523",5,未入流,nc
260,候補候選正從九品人員,,Expectants and Candidates of Ranks 9a and 9b,0,0,0,12,"0,162257","0,20721",,0,0,1,1,"0,000753",0,5,NA,NA
122,太常寺寺丞,60,Assistant Director of the Court of Imperial Sacrifices,0,0,0,1,1,1,,4,4,1,5,"0,003039","0,005113",6,正六品,6a
221,太常寺司樂,95,Music Director of the Court of Imperial Sacrifices,0,0,0,3,"0,571429","0,708333",,4,1,4,5,"0,001393","0,001523",6,從九品,9b
189,太常寺協律郎,80,Chief Musician of the Court of Imperial Sacrifices,0,0,0,2,"0,666667","0,75",,2,2,2,4,"0,001345","0,002342",6,正八品,8a
208,太常寺贊禮郎,90,Ceremonial Assistant of the Court of Imperial Sacrifices,0,0,0,2,"0,666667","0,75",,2,2,2,4,"0,001345","0,002342",6,正九品,9a
14,樂舞生,0,Student of Music,0,0,0,4,"0,416667","0,516667",,0,0,1,1,"0,000753",0,6,unranked,unranked
258,加品級服俸,,Add Brevet Rank-class,0,0,0,0,0,0,,0,1,0,1,"0,003336","0,003664",6,NA,NA
