Id,Label,rank_class,translations,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,Location,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,pageranks,eigencentrality,modularity_class,chin_rc,engl_rc
109,外府通判,60,Deputy Vice Prefect,0,0,0,8,"0,227907","0,333601",Provinces,"264,627178",29,12,41,"0,011234","0,442228",2,正六品,6a
112,都察院經厯,60,Registrar at the Censorate,0,0,0,7,"0,236686","0,279464",Beijing,"242,252774",5,2,7,"0,001766","0,101523",2,正六品,6a
162,鑾儀衞經厯,75,Registrar at the Imperial Procession Guard,0,0,0,8,"0,238806","0,329985",Beijing,"226,010505",15,10,25,"0,003468","0,129677",2,從七品,7b
136,布政司經厯,65,Registrar for Provincial Administration Commissioner,0,0,0,8,"0,247748","0,325866",Provinces,"222,148252",11,5,16,"0,005323","0,246392",2,從六品,6b
141,兵馬司副指揮,70,Vice Commander of the Warden’s Office,0,0,0,9,"0,243056","0,358577",Beijing,"210,087692",19,14,33,"0,006242","0,239666",2,正七品,7a
168,光祿寺典簿,75,Archivist at the Court of Imperial Entertainments,0,0,0,8,"0,241379","0,312606",Beijing,"203,121684",3,6,9,"0,00186","0,074239",2,從七品,7b
115,宗人府主事,60,Secretary at the Imperial Clan Court,0,0,0,7,"0,236686","0,279464",Beijing,"176,653321",31,2,33,"0,007723","0,243943",2,正六品,6a
218,鴻臚寺序班,95,Usher of the Court of State Ceremonial,0,0,0,10,"0,219451","0,29499",Beijing,176,2,6,8,"0,002033","0,003045",2,從九品,9b
106,内閣侍讀,60,Reader-in-waiting of the Grand Secretariat,0,0,0,6,"0,29771","0,363248",Beijing,"173,092813",6,4,10,"0,001138","0,010342",2,正六品,6a
145,按察司經厯,70,Registrar for a Provincial Surveillance Commissioner,0,0,0,9,"0,236934","0,332359",Provinces,"162,908651",21,8,29,"0,005783","0,241807",2,正七品,7a
204,會同館大使,90,Commissioner-in-chief of the Interpreters and Translators Institute,0,0,0,10,"0,209302","0,273158",Beijing,162,2,4,6,"0,001937","0,002342",2,正九品,9a
108,兵馬司指揮,60,Commander of the Warden’s Office,0,0,0,8,"0,214286","0,285476",Beijing,"161,078475",15,6,21,"0,007057","0,277918",2,正六品,6a
169,京府經厯,75,Registrar of the Capital Prefecture,0,0,0,8,"0,26616","0,380323",Beijing,"135,411921",3,10,13,"0,001992","0,080417",2,從七品,7b
102,鹽運司運副,55,Assistant Salt Controller,0,0,0,8,"0,219048","0,311879",Provinces,"106,58575",11,9,20,"0,004913","0,269543",2,從五品,5b
151,太常寺典簿,70,Archivist at the Court of Imperial Sacrifices,0,0,0,8,"0,239437","0,328548",Beijing,"105,606433",12,10,22,"0,002562","0,036479",2,正七品,7a
219,會同館序班,95,Usher of the Interpreters and Translators Institute,0,0,0,11,"0,17484","0,213342",Beijing,82,1,2,3,"0,001393","0,001523",2,從九品,9b
165,内閣撰文中書,75,Corresponding Secretary in the Grand Secretariat,0,0,0,7,"0,270718","0,381195",Beijing,"41,670339",2,14,16,"0,000903","0,003045",2,從七品,7b
166,内閣辦事中書,75,Executive Secretary in the Grand Secretariat,0,0,0,7,"0,270718","0,381195",Beijing,"41,670339",2,14,16,"0,000903","0,003045",2,從七品,7b
87,順天府治中,50,Deputy Vice Governor of Shuntian Prefecture,0,0,0,7,"0,25","0,321429",Beijing,"34,351235",9,6,15,"0,004849","0,187407",2,正五品,5a
88,奉天府治中,50,Deputy Vice Governor of Fengtian Prefecture,0,0,0,7,"0,25","0,321429",Beijing,"34,351235",9,6,15,"0,004849","0,187407",2,正五品,5a
104,鹽課司提舉,55,Salt Supervisor,0,0,0,8,"0,21256","0,291964",Provinces,"31,33551",6,8,14,"0,003872","0,154584",2,從五品,5b
143,京縣縣丞,70,Vice Magistrate in the Capital Prefecture,0,0,0,9,"0,236934","0,332359",Beijing,"28,732502",15,8,23,"0,004444","0,204782",2,正七品,7a
167,詹事府主簿,75,Recorder of the Household of the Heir Apparent,0,0,0,8,"0,247863","0,33631",Beijing,"27,913444",3,10,13,"0,001185","0,008288",2,從七品,7b
147,大理寺左右評事,70,Left and Right Case Reviewers of the Court of Judicial Review,0,0,0,8,"0,218009","0,301009",Beijing,"27,86582",6,8,14,"0,001857","0,103046",2,正七品,7a
148,太常寺博士,70,Erudite of the Court of Imperial Sacrifices of the Court of Imperial Sacrifices,0,0,0,8,"0,218009","0,301009",Beijing,"27,86582",6,8,14,"0,001857","0,103046",2,正七品,7a
171,布政司都事,75,Office Manager for Provincial Administration Commissioner,0,0,0,9,"0,245734","0,355561",Provinces,"26,677732",6,12,18,"0,003656","0,189695",2,從七品,7b
149,通政司經厯,70,Registrar at the Office of Transmission,0,0,0,8,"0,226852","0,323397",Beijing,"21,786412",7,9,16,"0,001845","0,105951",2,正七品,7a
177,布政司庫大使,80,Storehouse Commissioner-in-chief for Provincial Administration Commissioner,0,0,0,9,"0,242991","0,355281",Provinces,"19,5",1,12,13,"0,000913","0,001523",2,正八品,8a
178,鹽課司大使,80,Saltern Commissioner-in-chief,0,0,0,9,"0,242991","0,355281",Provinces,"19,5",1,12,13,"0,000913","0,001523",2,正八品,8a
179,鹽引批驗所大使,80,Commissioner-in-chief at Salt Control Station,0,0,0,9,"0,242991","0,355281",Provinces,"19,5",1,12,13,"0,000913","0,001523",2,正八品,8a
180,運倉大使,80,Commissioner-in-chief of the Salt Storehouse,0,0,0,9,"0,242991","0,355281",Provinces,"19,5",1,9,10,"0,000913","0,001523",2,正八品,8a
150,通政司知事,70,Administrative Clerk at the Office of Transmission,0,0,0,8,"0,21875","0,300802",Beijing,"17,340483",7,8,15,"0,001845","0,105951",2,正七品,7a
172,鹽運司經厯,75,Registrar for the Provincial Salt Controller,0,0,0,9,"0,238754","0,334788",Provinces,"16,774584",14,8,22,"0,004124","0,201737",2,從七品,7b
163,中書科掌印中書,75,Seal-holdingSecretary at Central Drafting Office,0,0,0,8,"0,218009","0,301009",Beijing,"15,807287",3,4,7,"0,001644","0,101523",2,從七品,7b
164,中書科中書,75,Secretary at Central Drafting Office,0,0,0,8,"0,218009","0,301009",Beijing,"15,807287",5,8,13,"0,001644","0,101523",2,從七品,7b
79,各省鹽運司運同,45,Deputy Salt Controller,0,0,0,7,"0,226667","0,267507",Provinces,"14,786674",14,2,16,"0,013912","0,370026",2,從四品,4b
134,直隸州州同,65,Vice Magistrate of an Independent Department,0,0,0,8,"0,275424","0,457381",Provinces,"10,052198",1,32,33,"0,000811","0,001523",2,從六品,6b
233,鴻臚寺鳴贊,95,Herald of the Court of State Ceremonial,0,0,0,10,"0,215223","0,298282",Beijing,"9,065789",2,8,10,"0,001329","0,003161",2,從九品,9b
176,國子監助教,75,Instructor of the Directorate of Education,0,0,0,8,"0,207373","0,271984",Beijing,"7,728517",4,6,10,"0,00106","0,006322",2,從七品,7b
182,國子監學正,80,Instructor of the Directorate of Education,0,0,0,9,"0,220974","0,318086",Beijing,"5,426984",2,9,11,"0,000903","0,003045",2,正八品,8a
183,國子監學錄,80,Instructor of the Directorate of Education,0,0,0,9,"0,220974","0,318086",Beijing,"5,426984",2,9,11,"0,000903","0,003045",2,正八品,8a
116,起居注主事,60,Secretary at the Imperial Diary,0,0,0,7,"0,236686","0,279464",Beijing,"0,576923",4,2,6,"0,000972","0,006322",2,正六品,6a
198,鴻臚寺主簿,85,Record Keeper of the Court of State Ceremonial,0,0,0,10,"0,208556","0,277254",Beijing,"0,302632",2,4,6,"0,001036","0,002771",2,從八品,8b
121,京縣知縣,60,County Magistrate in Capital Prefecture,0,0,0,8,"0,224299","0,319717",Beijing,"0,25",3,10,13,"0,001553","0,100001",2,正六品,6a
2,從三品官廕生,0,Hereditary Student (3b),0,0,0,9,"0,24026","0,325681",,0,0,4,4,"0,000753",0,2,unranked,unranked
4,進士,0,Jinshi,0,0,0,8,"0,274306","0,381721",,0,0,7,7,"0,000753",0,2,unranked,unranked
7,恩拔副貢考授州判職銜,0,Tribute Student tested for brevet of Assistant Department Magistrate,0,0,0,10,"0,207447","0,268707",,0,0,1,1,"0,000753",0,2,unranked,unranked
8,漢軍外郎考授州判職銜兼,0,Han Bannerman Officer Tested for Brevet of Assistant Department Magistrate,0,0,0,10,"0,207447","0,268707",,0,0,1,1,"0,000753",0,2,unranked,unranked
10,學習,0,Apprentice,0,0,0,11,"0,181633","0,223716",,0,0,1,1,"0,000753",0,2,unranked,unranked
11,生員,0,Student,0,0,0,11,"0,181633","0,223716",,0,0,1,1,"0,000753",0,2,unranked,unranked
12,譯字生,0,Student of Translation,0,0,0,12,"0,150362","0,179276",,0,0,1,1,"0,000753",0,2,unranked,unranked
17,正一品官廕生,0,Hereditary Student (1a),0,0,0,7,"0,248555","0,318106",,0,0,3,3,"0,000753",0,2,unranked,unranked
18,漢軍一品官廕生,0,"Hereditary Student (Han bannermen, rank-class 1)",0,0,0,7,"0,236686","0,279464",,0,0,1,1,"0,000753",0,2,unranked,unranked
21,從二品官廕生,0,Hereditary Student (2b),0,0,0,8,"0,221198","0,264013",,0,0,1,1,"0,000753",0,2,unranked,unranked
22,恩拔副貢考授州同職銜,0,Tribute Student tested for brevet of Department Vice Magistrate,0,0,0,9,"0,205036","0,254852",,0,0,1,1,"0,000753",0,2,unranked,unranked
23,漢軍外郎考授州同職銜,0,Han Bannerman Officer Tested for Brevet of Department Vice Magistrate,0,0,0,9,"0,205036","0,254852",,0,0,1,1,"0,000753",0,2,unranked,unranked
28,正三品官廕生,0,Hereditary Student (3a),0,0,0,9,"0,219697","0,329317",,0,0,7,7,"0,000753",0,2,unranked,unranked
29,子爵廕生,0,Hereditary Student (viscount),0,0,0,9,"0,207692","0,279637",,0,0,3,3,"0,000753",0,2,unranked,unranked
30,貢生,0,Tribute Student,0,0,0,9,"0,219269","0,293615",,0,0,1,1,"0,000753",0,2,unranked,unranked
31,教習,0,Instructor,0,0,0,9,"0,219269","0,293615",,0,0,1,1,"0,000753",0,2,unranked,unranked
32,滿洲蒙古筆帖式,0,Manchu or Mongol Clerk,0,0,0,9,"0,219269","0,293615",,0,0,1,1,"0,000753",0,2,unranked,unranked
33,恩拔副貢考授縣丞職銜,0,Tribute Student tested for brevet of Vice Magistrate,0,0,0,10,"0,207254","0,264072",,0,0,1,1,"0,000753",0,2,unranked,unranked
