Id,Label,department,type,type2,posid,rankint,ranktrad,location,trsl,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,eigencentrality,clustering
1677,會試總裁,會試,Commission,NA,NA,,NA,Beijing,NA,1,5,6,1,5,6,20,"0,100991","0,116885",0,"0,000072",1,"0,002458","0,366667"
1679,會試總裁,會試,Commission,NA,NA,,NA,Beijing,NA,1,5,6,1,5,6,8,"0,259237","0,284814",0,"0,000071",1,"0,00254","0,366667"
1680,會試總裁,會試,Commission,NA,NA,,NA,Beijing,NA,1,5,6,1,5,6,20,"0,104202","0,120918",0,"0,000061",1,"0,001607","0,333333"
1564,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,16,"0,101814","0,117212",0,"0,000081",1,"0,001397",1
1567,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,19,"0,09214","0,101469",0,"0,00008",1,"0,001444",1
1569,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,21,"0,098091","0,112458",0,"0,000078",1,"0,001378",1
1570,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,21,"0,099026","0,114239",0,"0,000118",1,"0,001595",1
1572,革留,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,4,5,21,"0,094795","0,107018",0,"0,000089",1,"0,001486",1
1580,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,099996","0,109406",0,"0,000071",1,"0,001703",1
1582,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,098074","0,106084",0,"0,000092",1,"0,002821",1
1583,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,103086","0,113955",0,"0,000073",1,"0,001632",1
1584,交部,處分,Performance,NA,NA,,NA,all,NA,1,1,2,1,6,7,20,"0,099389","0,108879",0,"0,000072",1,"0,001766",1
